DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,14,0
03/01/2020 12:00:00 AM,1,4,0
03/02/2020 12:00:00 AM,0,23,0
03/03/2020 12:00:00 AM,2,22,0
03/04/2020 12:00:00 AM,5,22,0
03/05/2020 12:00:00 AM,3,21,0
03/06/2020 12:00:00 AM,8,23,0
03/07/2020 12:00:00 AM,7,16,0
03/08/2020 12:00:00 AM,21,17,0
03/09/2020 12:00:00 AM,58,52,0
03/10/2020 12:00:00 AM,70,65,0
03/11/2020 12:00:00 AM,155,86,1
03/12/2020 12:00:00 AM,357,90,0
03/13/2020 12:00:00 AM,620,148,0
03/14/2020 12:00:00 AM,642,158,2
03/15/2020 12:00:00 AM,1033,193,5
03/16/2020 12:00:00 AM,2122,308,9
03/17/2020 12:00:00 AM,2457,353,8
03/18/2020 12:00:00 AM,2980,463,20
03/19/2020 12:00:00 AM,3713,552,24
03/20/2020 12:00:00 AM,4014,660,46
03/21/2020 12:00:00 AM,2639,686,45
03/22/2020 12:00:00 AM,2580,724,50
03/23/2020 12:00:00 AM,3567,1033,82
03/24/2020 12:00:00 AM,4497,1142,94
03/25/2020 12:00:00 AM,4839,1296,121
03/26/2020 12:00:00 AM,5023,1422,186
03/27/2020 12:00:00 AM,5095,1378,212
03/28/2020 12:00:00 AM,3458,1337,265
03/29/2020 12:00:00 AM,3524,1381,287
03/30/2020 12:00:00 AM,6111,1691,321
03/31/2020 12:00:00 AM,5431,1627,372
04/01/2020 12:00:00 AM,5432,1534,431
04/02/2020 12:00:00 AM,5753,1592,486
04/03/2020 12:00:00 AM,5656,1595,482
04/04/2020 12:00:00 AM,3855,1329,488
04/05/2020 12:00:00 AM,3772,1317,564
04/06/2020 12:00:00 AM,6361,1686,564
04/07/2020 12:00:00 AM,6051,1561,590
04/08/2020 12:00:00 AM,5562,1512,544
04/09/2020 12:00:00 AM,5035,1390,534
04/10/2020 12:00:00 AM,4495,1306,517
04/11/2020 12:00:00 AM,3710,1071,523
04/12/2020 12:00:00 AM,2870,967,555
04/13/2020 12:00:00 AM,3297,1192,550
04/14/2020 12:00:00 AM,4131,1057,503
04/15/2020 12:00:00 AM,3866,961,437
04/16/2020 12:00:00 AM,3515,850,398
04/17/2020 12:00:00 AM,3574,895,366
04/18/2020 12:00:00 AM,2162,643,361
04/19/2020 12:00:00 AM,2349,588,372
04/20/2020 12:00:00 AM,3776,710,346
04/21/2020 12:00:00 AM,3055,647,306
04/22/2020 12:00:00 AM,3458,594,299
04/23/2020 12:00:00 AM,2844,515,307
04/24/2020 12:00:00 AM,2537,553,297
04/25/2020 12:00:00 AM,1593,402,239
04/26/2020 12:00:00 AM,1006,376,230
04/27/2020 12:00:00 AM,2307,438,254
04/28/2020 12:00:00 AM,2722,439,216
04/29/2020 12:00:00 AM,2341,400,227
04/30/2020 12:00:00 AM,2014,330,206
05/01/2020 12:00:00 AM,1881,346,200
05/02/2020 12:00:00 AM,1056,268,184
05/03/2020 12:00:00 AM,782,252,166
05/04/2020 12:00:00 AM,1548,288,146
05/05/2020 12:00:00 AM,1508,264,139
05/06/2020 12:00:00 AM,1402,253,136
05/07/2020 12:00:00 AM,1238,230,129
05/08/2020 12:00:00 AM,1086,243,120
05/09/2020 12:00:00 AM,670,161,98
05/10/2020 12:00:00 AM,460,140,88
05/11/2020 12:00:00 AM,1233,242,97
05/12/2020 12:00:00 AM,1284,201,84
05/13/2020 12:00:00 AM,1332,198,71
05/14/2020 12:00:00 AM,1109,185,61
05/15/2020 12:00:00 AM,869,191,82
05/16/2020 12:00:00 AM,486,139,71
05/17/2020 12:00:00 AM,360,109,66
05/18/2020 12:00:00 AM,902,142,44
05/19/2020 12:00:00 AM,993,167,48
05/20/2020 12:00:00 AM,968,80,63
05/21/2020 12:00:00 AM,961,76,33
05/22/2020 12:00:00 AM,887,104,43
05/23/2020 12:00:00 AM,346,54,37
05/24/2020 12:00:00 AM,358,60,24
05/25/2020 12:00:00 AM,220,45,13
05/26/2020 12:00:00 AM,165,19,6
05/27/2020 12:00:00 AM,19,0,0
